ID,Customer_age,Age_group,Income,Income_group,Customer_days,Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
2404,44,Middle-Aged,53359.0,middle_income,4456,Graduation,Married,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
5255,34,Adult,0.0,low_income,4552,Graduation,Single,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0
9422,31,Adult,38360.0,middle_income,4452,Graduation,Married,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
1966,55,Pre-Senior,84618.0,high_income,4277,PhD,Married,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0
6864,31,Adult,10979.0,low_income,4096,Master,Divorced,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
3033,57,Pre-Senior,38620.0,middle_income,4472,Master,Together,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
5710,50,Middle-Aged,40548.0,middle_income,4685,Graduation,Together,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0
7373,68,Senior,46610.0,middle_income,4666,PhD,Divorced,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1
8755,74,Elderly,68657.0,middle_income,4552,Master,Married,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
10738,69,Senior,49389.0,middle_income,4362,Master,Single,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
4339,50,Middle-Aged,67353.0,middle_income,4238,PhD,Married,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
10755,44,Middle-Aged,23718.0,low_income,4358,2n Cycle,Married,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
8595,47,Middle-Aged,42429.0,middle_income,4196,Graduation,Widow,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
2968,77,Elderly,48948.0,middle_income,4571,PhD,Divorced,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1
8601,40,Adult,80011.0,high_income,4484,Graduation,Married,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
503,35,Adult,20559.0,low_income,4532,Master,Married,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
8430,63,Senior,21994.0,low_income,4610,Graduation,Together,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
7281,61,Senior,0.0,low_income,4294,PhD,Single,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0
2139,45,Middle-Aged,7500.0,low_income,4328,Master,Married,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
1371,44,Middle-Aged,79941.0,high_income,4059,Graduation,Single,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
9909,24,Young_Adult,7500.0,low_income,4655,2n Cycle,Married,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1
7286,52,Pre-Senior,41728.0,middle_income,4459,Graduation,Together,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
7244,69,Senior,0.0,low_income,4237,Graduation,Single,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0
6566,66,Senior,72550.0,middle_income,4656,PhD,Married,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
8614,63,Senior,65486.0,middle_income,4106,Graduation,Widow,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
4114,56,Pre-Senior,79143.0,high_income,4745,Master,Married,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
1331,43,Middle-Aged,35790.0,low_income,4601,Graduation,Single,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
2225,43,Middle-Aged,82582.0,high_income,4080,Graduation,Divorced,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1
9381,42,Middle-Aged,66373.0,middle_income,4440,Graduation,Married,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
6260,65,Senior,82384.0,high_income,4645,Master,Together,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,0,1
10383,54,Pre-Senior,70287.0,middle_income,4511,Graduation,Divorced,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
7437,32,Adult,27938.0,low_income,4120,Graduation,Single,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
8557,38,Adult,0.0,low_income,4435,Graduation,Single,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0
8375,52,Pre-Senior,55954.0,middle_income,4176,PhD,Married,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
6853,38,Adult,75777.0,middle_income,4418,Master,Single,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,0,1
3076,45,Middle-Aged,66653.0,middle_income,4718,Graduation,Together,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
1012,68,Senior,61823.0,middle_income,4554,Graduation,Single,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
6518,69,Senior,67680.0,middle_income,4441,PhD,Widow,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
4137,72,Elderly,70666.0,middle_income,4263,Graduation,Together,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
8082,49,Middle-Aged,25721.0,low_income,4462,Graduation,Married,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1
1386,53,Pre-Senior,32474.0,low_income,4107,Graduation,Together,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
9369,41,Middle-Aged,88194.0,high_income,4160,2n Cycle,Single,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,0,1
4477,62,Senior,69096.0,middle_income,4333,Graduation,Together,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
1357,50,Middle-Aged,74854.0,middle_income,4505,Graduation,Together,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
1402,66,Senior,66991.0,middle_income,4714,Master,Married,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
10629,47,Middle-Aged,0.0,low_income,4711,2n Cycle,Married,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0
6312,61,Senior,65031.0,middle_income,4527,Graduation,Married,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
8132,45,Middle-Aged,60631.0,middle_income,4508,PhD,Married,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,0
1050,68,Senior,28332.0,low_income,4118,Graduation,Married,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
5846,43,Middle-Aged,40246.0,middle_income,4615,Graduation,Divorced,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0
1859,48,Middle-Aged,75251.0,middle_income,4729,Master,Married,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1
7503,44,Middle-Aged,75825.0,high_income,4683,Graduation,Single,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,0,1
10401,44,Middle-Aged,26326.0,low_income,4356,2n Cycle,Together,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0
1618,55,Pre-Senior,56046.0,middle_income,4601,Graduation,Together,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,0,1
3332,35,Adult,29760.0,low_income,4727,Graduation,Single,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
2261,51,Pre-Senior,26304.0,low_income,4429,Graduation,Married,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
5346,47,Middle-Aged,23559.0,low_income,4419,2n Cycle,Married,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0
4119,57,Pre-Senior,38620.0,middle_income,4472,Master,Together,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
535,33,Adult,81361.0,high_income,4182,Graduation,Divorced,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
5268,60,Pre-Senior,29440.0,low_income,4380,Graduation,Married,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
273,50,Middle-Aged,36138.0,low_income,4406,Master,Married,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0
4452,63,Senior,50388.0,middle_income,4090,Graduation,Single,0,1,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,0,1
8504,47,Middle-Aged,79593.0,high_income,4106,Graduation,Married,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0
771,53,Pre-Senior,54178.0,middle_income,4217,Graduation,Together,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
8996,63,Senior,0.0,low_income,4645,PhD,Married,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0
9235,63,Senior,0.0,low_income,4091,Graduation,Single,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0
5798,47,Middle-Aged,0.0,low_income,4276,Master,Together,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0
11178,48,Middle-Aged,42394.0,middle_income,4156,Master,Single,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
2230,50,Middle-Aged,23626.0,low_income,4094,PhD,Married,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
7516,37,Adult,30096.0,low_income,4096,Graduation,Married,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
7247,60,Pre-Senior,47916.0,middle_income,4642,Graduation,Widow,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,0
11100,48,Middle-Aged,51813.0,middle_income,4502,Graduation,Divorced,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
4646,69,Senior,78497.0,high_income,4268,2n Cycle,Married,0,0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0
3037,37,Adult,50150.0,middle_income,4432,PhD,Married,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
1473,60,Pre-Senior,47823.0,middle_income,4399,2n Cycle,Single,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
1016,61,Senior,34554.0,low_income,4149,PhD,Single,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
4518,41,Middle-Aged,85693.0,high_income,4493,Graduation,Together,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
9370,75,Elderly,65846.0,middle_income,4466,PhD,Married,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0
8908,61,Senior,87195.0,high_income,4110,Graduation,Married,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1
8373,41,Middle-Aged,24594.0,low_income,4259,Basic,Together,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0
7533,56,Pre-Senior,49096.0,middle_income,4336,Graduation,Married,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
2683,51,Pre-Senior,52413.0,middle_income,4570,Graduation,Married,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
3629,42,Middle-Aged,38557.0,middle_income,4615,Graduation,Single,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
10991,60,Pre-Senior,89058.0,high_income,4627,Master,Married,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
5077,41,Middle-Aged,77298.0,high_income,4297,Graduation,Together,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
7431,29,Young_Adult,68126.0,middle_income,4654,PhD,Single,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,0,1
3267,57,Pre-Senior,57288.0,middle_income,4062,Master,Together,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,0
999,29,Young_Adult,86037.0,high_income,4601,Graduation,Single,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,0,1
9215,40,Adult,43974.0,middle_income,4622,PhD,Married,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
2286,58,Pre-Senior,50785.0,middle_income,4350,Graduation,Single,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
1592,50,Middle-Aged,90765.0,high_income,4214,Graduation,Married,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0
367,42,Middle-Aged,36550.0,low_income,4553,2n Cycle,Married,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0
5234,53,Pre-Senior,30753.0,low_income,4411,2n Cycle,Together,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
9862,51,Pre-Senior,21918.0,low_income,4285,Graduation,Together,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
9805,67,Senior,56129.0,middle_income,4432,Master,Together,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
6205,53,Pre-Senior,32557.0,low_income,4183,Master,Single,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1
8442,35,Adult,19510.0,low_income,4356,Master,Married,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
7386,44,Middle-Aged,30992.0,low_income,4491,Graduation,Divorced,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
7215,37,Adult,101970.0,high_income,4532,Graduation,Single,0,0,69,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,0,1
1491,55,Pre-Senior,71488.0,middle_income,4554,2n Cycle,Together,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
11071,36,Adult,79607.0,high_income,4492,Graduation,Single,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1
3381,67,Senior,54348.0,middle_income,4079,Master,Married,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
8268,59,Pre-Senior,0.0,low_income,4411,PhD,Married,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0
11051,64,Senior,77376.0,high_income,4108,PhD,Together,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
8026,68,Senior,62998.0,middle_income,4330,Graduation,Married,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0
433,62,Senior,61331.0,middle_income,4534,Master,Single,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
9597,51,Pre-Senior,73448.0,middle_income,4197,Graduation,Married,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
1295,57,Pre-Senior,0.0,low_income,4380,Graduation,Married,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0
5290,56,Pre-Senior,41551.0,middle_income,4377,PhD,Married,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
1685,53,Pre-Senior,62981.0,middle_income,4527,PhD,Together,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0
5342,44,Middle-Aged,9548.0,low_income,4748,Basic,Divorced,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
9579,61,Senior,33762.0,low_income,4415,PhD,Married,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0
7660,47,Middle-Aged,35860.0,low_income,4099,PhD,Single,1,1,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,1
1461,55,Pre-Senior,36921.0,low_income,4394,PhD,Divorced,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0
821,28,Young_Adult,92859.0,high_income,4676,Master,Single,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
11084,44,Middle-Aged,65104.0,middle_income,4285,Master,Together,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1
8690,58,Pre-Senior,86111.0,high_income,4494,Graduation,Married,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
2937,46,Middle-Aged,68352.0,middle_income,4363,PhD,Single,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
9701,32,Adult,41883.0,middle_income,4525,Graduation,Together,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
9949,44,Middle-Aged,59809.0,middle_income,4677,Graduation,Married,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
10837,45,Middle-Aged,23957.0,low_income,4667,Graduation,Married,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1
3120,39,Adult,38547.0,middle_income,4363,Graduation,Together,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0
5885,47,Middle-Aged,35688.0,low_income,4734,2n Cycle,Married,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
4050,54,Pre-Senior,49605.0,middle_income,4066,Master,Married,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
3830,67,Senior,59354.0,middle_income,4124,Master,Married,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
7987,51,Pre-Senior,65747.0,middle_income,4172,Graduation,Married,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,0
7798,48,Middle-Aged,46344.0,middle_income,4620,2n Cycle,Together,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
92,32,Adult,34176.0,low_income,4106,Graduation,Single,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
7055,68,Senior,61010.0,middle_income,4686,PhD,Together,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
10240,71,Elderly,69372.0,middle_income,4553,Graduation,Together,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,0,1
3025,62,Senior,49967.0,middle_income,4414,Graduation,Single,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
9283,42,Middle-Aged,60199.0,middle_income,4348,Graduation,Single,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
9970,43,Middle-Aged,55375.0,middle_income,4313,Graduation,Together,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
2730,65,Senior,80317.0,high_income,4371,Graduation,Single,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0
2795,62,Senior,30523.0,low_income,4421,Master,Single,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
9260,75,Elderly,70356.0,middle_income,4659,PhD,Married,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
8182,36,Adult,23228.0,low_income,4233,Graduation,Married,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
10095,45,Middle-Aged,74165.0,middle_income,4482,PhD,Divorced,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
4370,54,Pre-Senior,43482.0,middle_income,4286,Graduation,Together,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
10573,67,Senior,62551.0,middle_income,4281,Graduation,Divorced,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0,0
3712,61,Senior,52332.0,middle_income,4363,Graduation,Divorced,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0,0
6637,32,Adult,66951.0,middle_income,4297,Graduation,Single,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
3152,63,Senior,26091.0,low_income,4182,Graduation,Together,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
5610,55,Pre-Senior,33456.0,low_income,4127,Graduation,Together,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
6460,38,Adult,28718.0,low_income,4409,Graduation,Married,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
1349,50,Middle-Aged,50447.0,middle_income,4127,Graduation,Married,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
1880,61,Senior,53537.0,middle_income,4208,PhD,Together,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
641,53,Pre-Senior,52074.0,middle_income,4144,Graduation,Single,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0,0
8717,45,Middle-Aged,80427.0,high_income,4713,PhD,Married,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
10314,72,Elderly,83837.0,high_income,4618,PhD,Married,0,0,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,0,1
10854,50,Middle-Aged,38853.0,middle_income,4095,PhD,Married,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0
10492,61,Senior,38285.0,middle_income,4063,Graduation,Together,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
6935,69,Senior,78497.0,high_income,4268,2n Cycle,Married,0,0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0
7698,44,Middle-Aged,51650.0,middle_income,4107,PhD,Married,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0
3559,32,Adult,16248.0,low_income,4108,2n Cycle,Married,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0
10562,74,Elderly,66835.0,middle_income,4332,Master,Married,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
10796,36,Adult,30477.0,low_income,4216,Master,Married,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0
2563,59,Pre-Senior,28249.0,low_income,4072,Basic,Married,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0
3518,37,Adult,25271.0,low_income,4629,Graduation,Married,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
